License Number,Facility Name,Street Address,City,Parish,Facility Phone Number,License Capacity,License Type,License Status,Age Range,Operation Days,Director,Director Designee
60315,The Eagles Nest Development Center II LLC,9407 Ferrara Dr,Shreveport,CADDO,3186823703,28,Type III ,Open,4 Y To 12 Y,Monday From: 15:00 To: 17:00 / Tuesday From: 15:00 To: 17:00 / Wednesday From: 15:00 To: 17:00 / Thursday From: 15:00 To: 17:00 / Friday From: 15:00 To: 17:00,Janice  Antwine,LaJuan Mitchell
60319,JoJo's Preschool at Highland,7424 Highland Rd,Baton Rouge,EAST BATON ROUGE,2254546800,52,Type III ,Open,6 W To 5 Y,Monday From: 07:30 To: 17:30 / Tuesday From: 07:30 To: 17:30 / Wednesday From: 07:30 To: 17:30 / Thursday From: 07:30 To: 17:30 / Friday From: 07:30 To: 17:30,Jordan Corkern; jordan Corkern,Mary  McKay
60321,Al'Atrecia Ashley,2833 Crown St,Shreveport,CADDO,3187517309,6,Family Home ,Open,6 W To 12 Y,Monday From: 07:30 To: 17:30 / Tuesday From: 07:30 To: 17:30 / Wednesday From: 07:30 To: 17:30 / Thursday From: 07:30 To: 17:30 / Friday From: 07:30 To: 17:30 / Saturday From: 07:30 To: 17:30 / Sunday From: 07:30 To: 17:30,,
60324,Dryades YMCA Daycare,2220 Oretha Castle Haley Blvd,New Orleans,ORLEANS,5043549770,97,Type III ,Open,6 W To 4 Y,Monday From: 07:30 To: 17:00 / Tuesday From: 07:30 To: 17:00 / Wednesday From: 07:30 To: 17:00 / Thursday From: 07:30 To: 17:00 / Friday From: 07:30 To: 17:00,Stephanie Cockerham,
60330,Blooming Babies Daycare,2706 King Rd,Sulphur,CALCASIEU,3379124178,6,Family Home ,Open,8 W To 12 Y,Monday From: 00:00 To: 23:59 / Tuesday From: 00:00 To: 23:59 / Wednesday From: 00:00 To: 23:59 / Thursday From: 00:00 To: 23:59 / Friday From: 00:00 To: 23:59 / Saturday From: 00:00 To: 23:59 / Sunday From: 00:00 To: 23:59,,
60351,Mary Jo's Play Place and Learning Center,601 Lessard St,Donaldsonville,ASCENSION,2259219738,30,Type III ,Open,6 W To 16 Y,Monday From: 05:30 To: 18:00 / Tuesday From: 05:30 To: 18:00 / Wednesday From: 05:30 To: 18:00 / Thursday From: 05:30 To: 18:00 / Friday From: 05:30 To: 18:00 / Saturday From: 07:00 To: 14:00,Shelita  Lweis,Xavier Anderson
60356,Green's Loving Hands Early Learning Center,14469 Highway 44,Gonzales,ASCENSION,2253902250,41,Type III ,Open,6 W To 13 Y,Friday From: 06:30 To: 17:30 / Monday From: 06:30 To: 17:30 / Tuesday From: 06:30 To: 17:30 / Wednesday From: 06:30 To: 17:30 / Thursday From: 06:30 To: 17:30,Tremeka Ellis Green; Tremeka Ellis-Green,
60359,Peggy E Jackson,1323 Julia St,Baton Rouge,EAST BATON ROUGE,2255904247,6,Family Home ,Open,00 W To 5 Y,Monday From: 06:30 To: 17:00 / Tuesday From: 06:30 To: 17:00 / Wednesday From: 06:30 To: 17:00 / Thursday From: 06:30 To: 17:00 / Friday From: 06:30 To: 17:00,,
60363,Sassy's Childcare & Learning Academy,1708 N Parkerson Ave,Crowley,ACADIA,3375142209,44,Type III ,Open,6 W To 12 Y,Monday From: 07:00 To: 17:30 / Tuesday From: 07:00 To: 17:30 / Wednesday From: 07:00 To: 17:30 / Thursday From: 07:00 To: 17:30 / Friday From: 07:00 To: 17:30,Destiny Medows,
60364,Miles of Smiles Child Care Center,775 S Bonner St,Ruston,LINCOLN,3182249120,43,Type III ,Open,6 W To 13 Y,Monday From: 06:45 To: 17:45 / Tuesday From: 06:45 To: 17:45 / Wednesday From: 06:45 To: 17:45 / Thursday From: 06:45 To: 17:45 / Friday From: 06:45 To: 17:45,Lazandra Banks,Shirmyra Metoyer
60367,Little Scholars Academy & Preschool,800 Yale Street,Minden,WEBSTER,3186395040,54,Type III ,Open,6 W To 18 Y,Monday From: 06:00 To: 18:00 / Tuesday From: 06:00 To: 18:00 / Wednesday From: 06:00 To: 18:00 / Thursday From: 06:00 To: 18:00 / Friday From: 06:00 To: 18:00,Teressia Garner,
60368,Campbell Academy,1105 E Pont Des Mouton Road,Lafayette,LAFAYETTE,3372515336,66,Type III ,Open,6 W To 12 Y,Monday From: 06:30 To: 17:30 / Tuesday From: 06:30 To: 17:30 / Wednesday From: 06:30 To: 17:30 / Thursday From: 06:30 To: 17:30 / Friday From: 06:30 To: 17:30,Sherrie Campbell; Misty Nguyen,
60371,The Ivy League Learning Academy,116 Lobdell Ave,Baton Rouge,EAST BATON ROUGE,2252505211,52,Type III ,Open,6 W To 12 Y,Monday From: 00:00 To: 23:59 / Tuesday From: 00:00 To: 23:59 / Wednesday From: 00:00 To: 23:59 / Thursday From: 00:00 To: 23:59 / Friday From: 00:00 To: 23:59 / Saturday From: 08:00 To: 15:00,Ashley Nettles-Sims,
60374,Progressive Minds Learning Center LLC,149 Anne Dr,Avondale,JEFFERSON,5043446907,4,Family Home ,Open,5 W To 4 Y,Monday From: 07:00 To: 16:30 / Tuesday From: 07:00 To: 16:30 / Wednesday From: 07:00 To: 16:30 / Thursday From: 07:00 To: 16:30 / Friday From: 07:00 To: 16:30,,
60376,Wee Care Center,120 Ormond Blvd,La Place,ST. JOHN,9856524096,89,Type I ,Open,9 M To 7 Y,Monday From: 06:30 To: 19:30 / Tuesday From: 06:30 To: 19:30 / Wednesday From: 06:30 To: 19:30 / Thursday From: 06:30 To: 19:30 / Friday From: 06:30 To: 19:30,Karen Stanley,Julia Herbert
60380,MICHELLE GEORGE,515 Huval St,Crowley,ACADIA,3373840293,6,Family Home ,Open,1 M To 12 Y,Monday From: 07:00 To: 19:00 / Tuesday From: 07:00 To: 19:00 / Wednesday From: 07:00 To: 19:00 / Thursday From: 07:00 To: 19:00 / Friday From: 07:00 To: 19:00,,
60385,2Thumbs Up Learning Center LLC,1820 Myrtle St,Arcadia,BIENVILLE,3185792047,64,Type III ,Open,6 W To 12 Y,Monday From: 06:00 To: 21:00 / Tuesday From: 06:00 To: 21:00 / Wednesday From: 06:00 To: 21:00 / Thursday From: 06:00 To: 21:00 / Friday From: 06:00 To: 21:00 / Saturday From: 06:00 To: 21:00,Pamela Peoples,Cietra Stroughter
60388,STEAM Academy Preschool,133 Iberia St,Youngsville,LAFAYETTE,3372427885,108,Type II ,Open,1 Y To 13 Y,Monday From: 06:30 To: 17:30 / Tuesday From: 06:30 To: 17:30 / Wednesday From: 06:30 To: 17:30 / Thursday From: 06:30 To: 17:30 / Friday From: 06:30 To: 17:30,Britney Crochet,
60393,"Abundantly Blessed Aftercare Center, Inc",236 New Roads St,New Roads,POINTE COUPEE,2257135146,90,Type III ,Open,3 Y To 15 Y,Monday From: 05:30 To: 19:00 / Tuesday From: 05:30 To: 19:00 / Wednesday From: 05:30 To: 19:00 / Thursday From: 05:30 To: 19:00 / Friday From: 05:30 To: 19:00,Amy  Fields,
60394,Felicia Harvey,2715 Essex St,Shreveport,CADDO,3189538624,6,Family Home ,Open,8 M To 4 Y,Monday From: 07:00 To: 17:00 / Tuesday From: 07:00 To: 17:00 / Wednesday From: 07:00 To: 17:00 / Thursday From: 07:00 To: 17:00 / Friday From: 07:00 To: 17:00,,
60396,Phillis Santiago,6221 Craigie Rd,New Orleans,ORLEANS,5044211695,6,Family Home ,Open,1 Y To 4 Y,Monday From: 05:30 To: 15:00 / Tuesday From: 05:30 To: 15:00 / Wednesday From: 05:30 To: 15:00 / Thursday From: 05:30 To: 15:00 / Friday From: 05:30 To: 15:00,,
60400,KINGDOM KIDS LEARNING ACADEMY 2 LLC,12715 Shady Grove Loop,Amite,TANGIPAHOA,9857487762,16,Type III ,Open,6 W To 12 Y,Monday From: 07:00 To: 16:00 / Tuesday From: 07:00 To: 16:00 / Wednesday From: 07:00 To: 16:00 / Thursday From: 07:00 To: 16:00 / Friday From: 07:00 To: 16:00,Rena dunn,Olevia  wesby
60402,VERLINE DAMOND,1114 N Avenue B,Crowley,ACADIA,3377832435,6,Family Home ,Open,6 W To 12 Y,Monday From: 06:00 To: 18:00 / Tuesday From: 06:00 To: 18:00 / Wednesday From: 06:00 To: 18:00 / Thursday From: 06:00 To: 18:00 / Friday From: 06:00 To: 18:00,,
60403,Raising Angels Learning Center DBA Raising Angels STEM Academy of Excellence,3651 Cedarcrest Ave,Baton Rouge,EAST BATON ROUGE,2253297703,256,Type III ,Open,6 W To 12 Y,Monday From: 06:00 To: 17:00 / Tuesday From: 06:00 To: 17:00 / Wednesday From: 06:00 To: 17:00 / Thursday From: 06:00 To: 17:00 / Friday From: 06:00 To: 17:00,Doris Taylor,
60409,Hailey's Learning Academy,9413 Springfield Rd,Denham Springs,LIVINGSTON,2252872015,17,Type III ,Open,6 W To 12 Y,Monday From: 06:00 To: 19:00 / Tuesday From: 06:00 To: 19:00 / Wednesday From: 06:00 To: 19:00 / Thursday From: 06:00 To: 19:00 / Friday From: 06:00 To: 19:00,China  Carter,
60410,Kidz Academy Christian Daycare,62086 Paige Road,Bogalusa,WASHINGTON,9852415191,70,Type III ,Open,6 W To 16 Y,Monday From: 07:00 To: 17:15 / Tuesday From: 07:00 To: 17:15 / Wednesday From: 07:00 To: 17:15 / Thursday From: 07:00 To: 17:15 / Friday From: 07:00 To: 17:15,Lola Stogner,
60418,Legacy Babies South,9443 Mansfield Rd Ste C,Shreveport,CADDO,3182722600,24,Type II ,Open,4 W To 2 Y,Monday From: 07:00 To: 17:30 / Tuesday From: 07:00 To: 17:30 / Wednesday From: 07:00 To: 17:30 / Thursday From: 07:00 To: 17:30 / Friday From: 07:00 To: 17:30,Kimerly Allen,
60427,The Gathering Academy- St. Claude,7265 Saint Claude Ave,Arabi,ST. BERNARD,5043542277,66,Type I ,Open,6 W To 5 Y,Monday From: 07:00 To: 18:00 / Tuesday From: 07:00 To: 18:00 / Wednesday From: 07:00 To: 18:00 / Thursday From: 07:00 To: 18:00 / Friday From: 07:00 To: 18:00,Melissa  Brandt,
60432,Melanie's Learn and Play,4660 Palmetto Rd Ste A,Benton,BOSSIER,3186173580,88,Type III ,Open,6 W To 12 Y,Monday From: 06:30 To: 18:00 / Tuesday From: 06:30 To: 18:00 / Wednesday From: 06:30 To: 18:00 / Thursday From: 06:30 To: 18:00 / Friday From: 06:30 To: 18:00,Melanie Lindsey; Tina Laliberte,
60434,"Mae Mae's Munchkins, Too",356 S Main st,Sibley,WEBSTER,3182302522,36,Type III ,Open,2 W To 12 Y,Monday From: 07:00 To: 17:30 / Tuesday From: 07:00 To: 17:30 / Wednesday From: 07:00 To: 17:30 / Thursday From: 07:00 To: 17:30 / Friday From: 07:00 To: 17:30,Megan McEachern,Paige Bates
60436,St. John the Baptist Head Start,1920 Clio St,New Orleans,ORLEANS,5045292557,106,Type III ,Open,6 W To 5 Y,Monday From: 08:00 To: 15:00 / Tuesday From: 08:00 To: 15:00 / Wednesday From: 08:00 To: 15:00 / Thursday From: 08:00 To: 15:00 / Friday From: 08:00 To: 15:00,Nicole Roberson,Sharla Black
60440,EBRP Wonderland Head Start Center,1500 Oleander St,Baton Rouge,EAST BATON ROUGE,2253460677,116,Type III ,Open,3 Y To 4 Y,Monday From: 07:30 To: 16:30 / Tuesday From: 07:30 To: 16:30 / Wednesday From: 07:30 To: 16:30 / Thursday From: 07:30 To: 16:30 / Friday From: 07:30 To: 16:30,Tierney  Payne,
60441,EBRP Child Development Learning Center Head Start,7315 Exchange Pl,Baton Rouge,EAST BATON ROUGE,2259243414,82,Type III ,Open,3 Y To 4 Y,Monday From: 07:30 To: 16:30 / Tuesday From: 07:30 To: 16:30 / Wednesday From: 07:30 To: 16:30 / Thursday From: 07:30 To: 16:30 / Friday From: 07:30 To: 16:30,Kanika  Coates,
60451,ReNEW Early Childhood Center,2503 Willow Street,New Orleans,ORLEANS,5047621343,72,Type III ,Open,6 W To 5 Y,Monday From: 06:30 To: 17:30 / Tuesday From: 06:30 To: 17:30 / Wednesday From: 06:30 To: 17:30 / Thursday From: 06:30 To: 17:30 / Friday From: 06:30 To: 17:30,Monica Supak; Stacy Marino,Larita Jones
60454,Haynesville Elementary PK-3,9777 Highway 79,Haynesville,CLAIBORNE,3186241084,20,Type III ,Open,35 M To 48 M,Monday From: 07:00 To: 15:45 / Tuesday From: 07:00 To: 15:45 / Wednesday From: 07:00 To: 15:45 / Thursday From: 07:00 To: 15:45 / Friday From: 07:00 To: 15:45,Amanda  Sanders,
60460,Dazzle Land Daycare LLC,3514 Harrison Street,Monroe,OUACHITA,3185418144,33,Type III ,Open,6 M To 11 Y,Monday From: 06:00 To: 18:00 / Tuesday From: 06:00 To: 18:00 / Wednesday From: 06:00 To: 18:00 / Thursday From: 06:00 To: 18:00 / Friday From: 06:00 To: 18:00,Melvina  Parker,
60461,Hour Drop-In Child Care,29270 Juban Rd,Denham Springs,LIVINGSTON,2256655053,78,Type III ,Open,6 W To 12 Y,Monday From: 06:00 To: 22:00 / Tuesday From: 06:00 To: 22:00 / Wednesday From: 06:00 To: 22:00 / Thursday From: 06:00 To: 22:00 / Friday From: 06:00 To: 23:59 / Saturday From: 06:00 To: 23:59 / Sunday From: 08:00 To: 20:00,Carrie Ross,
60466,Kids College STEAM Education,6407 Buncombe Rd,Shreveport,CADDO,3186708791,113,Type III ,Open,6 W To 12 Y,Monday From: 06:30 To: 18:00 / Tuesday From: 06:30 To: 18:00 / Wednesday From: 06:30 To: 18:00 / Thursday From: 06:30 To: 18:00 / Friday From: 06:30 To: 18:00,Tammie Stewart,
60473,Beginning of Knowledge,200 W Willow St,Lafayette,LAFAYETTE,3374533265,84,Type III ,Open,6 W To 12 Y,Monday From: 06:30 To: 17:30 / Tuesday From: 06:30 To: 17:30 / Wednesday From: 06:30 To: 17:30 / Thursday From: 06:30 To: 17:30 / Friday From: 06:30 To: 17:30,Ameshia Romar,
60475,Sandra Williams - My Little Butterflies,114 S June Dr,Lafayette,LAFAYETTE,3377048655,6,Family Home ,Open,6 W To 12 Y,Monday From: 06:00 To: 18:00 / Tuesday From: 06:00 To: 18:00 / Wednesday From: 06:00 To: 18:00 / Thursday From: 06:00 To: 18:00 / Friday From: 06:00 To: 18:00 / Saturday From: 06:00 To: 18:00,,
60483,Little Arrows Learning Academy Raceland,144 Bowie Rd,Raceland,LAFOURCHE,9852279310,38,Type III ,Open,6 W To 12 Y,Monday From: 07:00 To: 16:00 / Tuesday From: 07:00 To: 16:00 / Wednesday From: 07:00 To: 16:00 / Thursday From: 07:00 To: 16:00 / Friday From: 07:00 To: 16:00,Semonne Holloway,Rachel Melancon; Cierra Babin
60484,Patty Tiller,359 Pennsylvania Ave,Shreveport,CADDO,3238096823,6,Family Home ,Open,2 M To 5 Y,Monday From: 00:00 To: 23:59 / Tuesday From: 00:00 To: 23:59 / Wednesday From: 00:00 To: 23:59 / Thursday From: 00:00 To: 23:59 / Friday From: 00:00 To: 23:59 / Saturday From: 00:00 To: 23:59 / Sunday From: 00:00 To: 23:59,,
60485,Little Arrows Learning Academy Chackbay,450 Highway 20,Thibodaux,LAFOURCHE,9852279310,19,Type III ,Open,6 W To 12 Y,Monday From: 07:00 To: 16:00 / Tuesday From: 07:00 To: 16:00 / Wednesday From: 07:00 To: 16:00 / Thursday From: 07:00 To: 16:00 / Friday From: 07:00 To: 16:00,Semonne Holloway,Alyssa  Chaisson; Rachel Melancon; Cierra Babin
60486,Regina Coeli Child Care Development Center -O.W. Dillon Head Start,1459 Service Rd,Kentwood,TANGIPAHOA,9852298225,17,Type III ,Open,3 Y To 5 Y,Monday From: 08:00 To: 15:00 / Tuesday From: 08:00 To: 15:00 / Wednesday From: 08:00 To: 15:00 / Thursday From: 08:00 To: 15:00 / Friday From: 08:00 To: 15:00,Irion Bullock,Annie Smith
60487,Kay's Playhouse Learning Center,2862 N Foster Dr,Baton Rouge,EAST BATON ROUGE,2252560406,32,Type III ,Open,8 W To 17 Y,Monday From: 06:30 To: 18:00 / Tuesday From: 06:30 To: 18:00 / Wednesday From: 06:30 To: 18:00 / Thursday From: 06:30 To: 18:00 / Friday From: 06:30 To: 18:00,shannon sims,Glendoria Magee
60488,Gigis Play Center,1127 Meadow Glen Ave,Zachary,EAST BATON ROUGE,2253477066,6,Family Home ,Open,06 W To 13 Y,Monday From: 05:00 To: 21:00 / Tuesday From: 05:00 To: 21:00 / Wednesday From: 05:00 To: 21:00 / Thursday From: 05:00 To: 21:00 / Friday From: 05:00 To: 21:00,,
60492,Maddyson Ceasar,1525 12th St,Lake Charles,CALCASIEU,3376608399,6,Family Home ,Open,18 M To 8 Y,Monday From: 07:00 To: 17:30 / Tuesday From: 07:00 To: 17:30 / Wednesday From: 07:00 To: 17:30 / Thursday From: 07:00 To: 17:30 / Friday From: 07:00 To: 17:30,,
60495,Little Ivy Prep,6971 Lapalco Blvd,Marrero,JEFFERSON,5044351080,66,Type III ,Open,6 W To 12 Y,Monday From: 07:00 To: 17:00 / Tuesday From: 07:00 To: 17:00 / Wednesday From: 07:00 To: 17:00 / Thursday From: 07:00 To: 17:00 / Friday From: 07:00 To: 17:00,Taisha Williams-Payne,
60497,Crescent City Christian Daycare,2701 Transcontinental Dr,Metairie,JEFFERSON,5042247600,92,Type III ,Open,6 W To 4 Y,Monday From: 06:00 To: 18:00 / Tuesday From: 06:00 To: 18:00 / Wednesday From: 06:00 To: 18:00 / Thursday From: 06:00 To: 18:00 / Friday From: 06:00 To: 18:00,Mashariki  Smith,Teri McMillan; Berthena  Burks
60504,Auntie B Learning Academy,8001 Lafourche St,New Orleans,ORLEANS,5042429299,28,Type III ,Open,4 M To 12 Y,Monday From: 07:00 To: 18:00 / Tuesday From: 07:00 To: 18:00 / Wednesday From: 07:00 To: 18:00 / Thursday From: 07:00 To: 18:00 / Friday From: 07:00 To: 18:00,ELIZABETH  UWAEZUOKE,Steve Uwaezuoke
60508,SHARON FORD DORSEY,5106 Wilton Drive,Monroe,OUACHITA,3187379178,6,Family Home ,Open,6 W To 3 Y,Monday From: 07:00 To: 17:00 / Tuesday From: 07:00 To: 17:00 / Wednesday From: 07:00 To: 17:00 / Thursday From: 07:00 To: 17:00 / Friday From: 07:00 To: 17:00,,
60514,Greater Bridge Academy St Gabriel,2195 Besson Ln,Sunshine,IBERVILLE,2253144056,53,Type III ,Open,6 W To 12 Y,Monday From: 00:00 To: 23:59 / Tuesday From: 00:00 To: 23:59 / Wednesday From: 00:00 To: 23:59 / Thursday From: 00:00 To: 23:59 / Friday From: 00:00 To: 23:59 / Saturday From: 00:00 To: 23:59 / Sunday From: 00:00 To: 23:59,Felicia Williams,
60515,Educational Station Childcare Center,1825 N Sherwood Forest Dr,Baton Rouge,EAST BATON ROUGE,2252566389,49,Type III ,Open,6 W To 12 Y,Monday From: 07:00 To: 17:00 / Tuesday From: 07:00 To: 17:00 / Wednesday From: 07:00 To: 17:00 / Thursday From: 07:00 To: 17:00 / Friday From: 07:00 To: 17:00,Jameshia Nettles,Deja Washington
60517,Taylormade Learning Center,501 S Bay St,Amite,TANGIPAHOA,9852847003,45,Type III ,Open,6 W To 17 Y,Monday From: 06:00 To: 17:00 / Tuesday From: 06:00 To: 17:00 / Wednesday From: 06:00 To: 17:00 / Thursday From: 06:00 To: 17:00 / Friday From: 06:00 To: 17:00,Tracy Taylor,Marquonza Richardson
60518,Yolanda Davis,413 Wright St,Bastrop,MOREHOUSE,3182816246,6,Family Home ,Open,0 M To 12 Y,Monday From: 00:00 To: 23:59 / Tuesday From: 00:00 To: 23:59 / Wednesday From: 00:00 To: 23:59 / Thursday From: 00:00 To: 23:59 / Friday From: 00:00 To: 23:59,,
60522,Better Beginnings Christian Academy,4608 Jones Creek Rd Ste 230,Baton Rouge,EAST BATON ROUGE,2258315557,37,Type III ,Open,6 W To 12 Y,Monday From: 06:30 To: 18:00 / Tuesday From: 06:30 To: 18:00 / Wednesday From: 06:30 To: 18:00 / Thursday From: 06:30 To: 18:00 / Friday From: 06:30 To: 18:00,Angelina Haynes,
60523,Brenda Fletcher Leonard,432 San Cristobal Ct,Slidell,ST. TAMMANY,5042564911,6,Family Home ,Open,6 W To 11 Y,Monday From: 00:00 To: 23:59 / Tuesday From: 00:00 To: 23:59 / Wednesday From: 00:00 To: 23:59 / Thursday From: 00:00 To: 23:59 / Friday From: 00:00 To: 23:59 / Saturday From: 00:00 To: 23:59 / Sunday From: 00:00 To: 23:59,,
60525,St. John Elementary Early Learning Center,924 Main St,Franklin,,3378282648,18,Type I ,Open,2 Y To 4 Y,Monday From: 07:25 To: 15:00 / Tuesday From: 07:25 To: 15:00 / Wednesday From: 07:25 To: 15:00 / Thursday From: 07:25 To: 15:00 / Friday From: 07:25 To: 15:00,Sheri Higdon,
60526,World Class Learning Academy,8250 I 10 Service Rd,New Orleans,ORLEANS,5044511712,117,Type III ,Open,6 W To 12 Y,Monday From: 07:00 To: 17:00 / Tuesday From: 07:00 To: 17:00 / Wednesday From: 07:00 To: 17:00 / Thursday From: 07:00 To: 17:00 / Friday From: 07:00 To: 17:00,Monique  Rouege,Rita  Wilfred ; Rita Wilfred
60531,Innovative Network of Knowledge-Ransom Center,420 Wheelis St,West Monroe,OUACHITA,3186778509,128,Type III ,Open,6 W To 5 Y,Monday From: 07:45 To: 15:00 / Tuesday From: 07:45 To: 15:00 / Wednesday From: 07:45 To: 15:00 / Thursday From: 07:45 To: 15:00 / Friday From: 07:45 To: 15:00,Antoinette Hoard,Mikal Sims; Sheareem Johnson
60532,Children's College of Academics,1415 Teche St,New Orleans,ORLEANS,5043243992,118,Type III ,Open,6 W To 12 Y,Monday From: 06:30 To: 17:30 / Tuesday From: 06:30 To: 17:30 / Wednesday From: 06:30 To: 17:30 / Thursday From: 06:30 To: 17:30 / Friday From: 06:30 To: 17:30,Kendra Andrus,
60537,Shereka Plummer,260 Armentine Cv,Breaux Bridge,ST. MARTIN,2254559000,6,Family Home ,Open,6 W To 10 Y,Monday From: 09:00 To: 18:00 / Tuesday From: 09:00 To: 18:00 / Wednesday From: 09:00 To: 18:00 / Thursday From: 09:00 To: 18:00 / Friday From: 09:00 To: 18:00,,
60547,Shiloh Gardens Academy & Early Learning Center,2521 Marais St,New Orleans,ORLEANS,5045818314,82,Type III ,Open,6 W To 12 Y,Monday From: 06:30 To: 17:00 / Tuesday From: 06:30 To: 17:00 / Wednesday From: 06:30 To: 17:00 / Thursday From: 06:30 To: 17:00 / Friday From: 06:30 To: 17:00,Pamela Marshall,Michelle Christmas
60548,Happy Hive Early Learning Center LLC,3432 Ewing Dr.,New Roads,POINTE COUPEE,2252400575,80,Type III ,Open,6 W To 12 Y,Monday From: 06:30 To: 18:00 / Tuesday From: 06:30 To: 18:00 / Wednesday From: 06:30 To: 18:00 / Thursday From: 06:30 To: 18:00 / Friday From: 06:30 To: 18:00,Ali Breaux,
60550,Cenla Christian ChildCare Center of Winnfield,1603 E Lafayette St,Winnfield,WINN,3182895014,52,Type III ,Open,6 W To 12 Y,Monday From: 07:00 To: 17:30 / Tuesday From: 07:00 To: 17:30 / Wednesday From: 07:00 To: 17:30 / Thursday From: 07:00 To: 17:30 / Friday From: 07:00 To: 17:30,Heather  Pickett,
60553,Cynthia Brown Daycare,4827 E Dacha Ln,Baton Rouge,EAST BATON ROUGE,6786836404,6,Family Home ,Open,0 M To 5 Y,Monday From: 07:00 To: 17:00 / Tuesday From: 07:00 To: 17:00 / Wednesday From: 07:00 To: 17:00 / Thursday From: 07:00 To: 17:00 / Friday From: 07:00 To: 17:00,,
60554,Little Dreamers at Northeast,13801 Port Hudson Pride Rd,Pride,EAST BATON ROUGE,2259334350,48,Type III ,Open,6 W To 4 Y,Monday From: 07:30 To: 16:00 / Tuesday From: 07:30 To: 16:00 / Wednesday From: 07:30 To: 16:00 / Thursday From: 07:30 To: 16:00 / Friday From: 07:30 To: 16:00,Shalanda White,trelisha johnson
60561,The Learning Ladder 2,550 S Van Ave,Houma,TERREBONNE,9855807776,94,Type III ,Open,6 W To 14 Y,Monday From: 07:00 To: 17:30 / Tuesday From: 07:00 To: 17:30 / Wednesday From: 07:00 To: 17:30 / Thursday From: 07:00 To: 17:30 / Friday From: 07:00 To: 17:30,Tanya Liner,Taylor Pitre
60567,Pelican Point Preschool LLC,703 Enterprise Dr,Houma,TERREBONNE,9852197777,157,Type II ,Open,6 W To 16 Y,Monday From: 07:00 To: 17:30 / Tuesday From: 07:00 To: 17:30 / Wednesday From: 07:00 To: 17:30 / Thursday From: 07:00 To: 17:30 / Friday From: 07:00 To: 17:30,Kayla Foley; Shannon Verrett,
60570,"The Little Nest Learning Academy, LLC",1127 S Market St,Opelousas,ST. LANDRY,3376929805,6,Family Home ,Open,6 W To 4 Y,Monday From: 06:30 To: 17:30 / Tuesday From: 06:30 To: 17:30 / Wednesday From: 06:30 To: 17:30 / Thursday From: 06:30 To: 17:30 / Friday From: 06:30 To: 17:30,,
60571,JUZ US CHILDCARE OF COUSHATTA,848 Ashland Rd,Coushatta,RED RIVER,3187027009,68,Type III ,Open,1 W To 13 Y,Monday From: 05:30 To: 18:30 / Tuesday From: 05:30 To: 18:30 / Wednesday From: 05:30 To: 18:30 / Thursday From: 05:30 To: 18:30 / Friday From: 05:30 To: 18:30,CAROLYN JACKSON-GRACE,AJAH DIXON
60572,Jackie's Day Care,209 Fairbanks Dr,Monroe,OUACHITA,3187918736,6,Family Home ,Open,0 W To 13 Y,Monday From: 06:00 To: 18:00 / Tuesday From: 06:00 To: 18:00 / Wednesday From: 06:00 To: 18:00 / Thursday From: 06:00 To: 18:00 / Friday From: 06:00 To: 18:00,,
60576,Wilcox Academy at Southern University of New Orleans,6701 Press Drive,New Orleans,ORLEANS,5042865306,125,Type III ,Open,2 M To 8 Y,Monday From: 07:00 To: 17:00 / Tuesday From: 07:00 To: 17:00 / Wednesday From: 07:00 To: 17:00 / Thursday From: 07:00 To: 17:00 / Friday From: 07:00 To: 17:00,Rochelle Wilcox; Kenyetta Domino Perkins,
60577,Inspiration Station,103 1st St,Duson,LAFAYETTE,3379356019,62,Type III ,Open,3 Y To 16 Y,Wednesday From: 06:30 To: 18:00 / Thursday From: 06:30 To: 18:00 / Friday From: 06:30 To: 18:00 / Monday From: 06:30 To: 18:00 / Tuesday From: 06:30 To: 18:00,Christina Henry,Kearia Lair
60578,Just for Kids Daycare/Preschool #4,150 N 9th St,Eunice,ST. LANDRY,3372461914,27,Type III ,Open,4 W To 13 Y,Monday From: 630 To: 5:30 / Tuesday From: 630 To: 5:30 / Wednesday From: 630 To: 5:30 / Thursday From: 630 To: 5:30 / Friday From: 630 To: 5:30,Skylar Hall,
60579,The Growing Tree Learning Academy,1612 Court St,Port Allen,WEST BATON ROUGE,2254215226,68,Type III ,Open,6 W To 9 Y,Monday From: 06:00 To: 18:00 / Tuesday From: 06:00 To: 18:00 / Wednesday From: 06:00 To: 18:00 / Thursday From: 06:00 To: 18:00 / Friday From: 06:00 To: 18:00,Stephanie Brown,Kodi Brown
60582,JeffCAP West Metairie Birth to Five Head Start,917 N Atlanta St,Metairie,JEFFERSON,5048381000,108,Type III ,Open,6 W To 5 Y,Monday From: 08:15 To: 15:30 / Tuesday From: 08:15 To: 15:30 / Wednesday From: 08:15 To: 15:30 / Thursday From: 08:15 To: 15:30 / Friday From: 08:15 To: 15:30,Lisa Mitchell,Veralynn Hayes
60583,JLAPTOO,1001 Moisant St,Kenner,JEFFERSON,5046673282,124,Type III ,Open,6 W To 18 Y,Monday From: 07:00 To: 16:15 / Tuesday From: 07:00 To: 16:15 / Wednesday From: 07:00 To: 16:15 / Thursday From: 07:00 To: 16:15 / Friday From: 07:00 To: 16:15,Renwick Knighton Sr; Trenice Knighton,Renwick  Knighton Jr.; Karla Monroy; Jaquil Franklin Franklin
