Type,License #,Name,Address,City,Zip,Phone,Email,Ages Served,Total Capacity,Capacity Under 3,Expiration Date,Legal Operator (LO),Address (LO),City (LO),Zip (LO)
Child Care Center,DCCC.70404,CHABAD PRESCHOOL,6 LINCOLN AVE,GREENWICH,06830-5751,203-629-9059,greta@chabadgreenwich.org,18 months-3 years,15,15,9/30/26,CHABAD LUBAVITCH OF GREENWICH INC.,75 MASON ST,GREENWICH,06830-5501
Child Care Center,DCCC.70406,A LITTLE JOURNEY DAYCARE AND LEARNING CENTER,1790 ELLINGTON RD,SOUTH WINDSOR,06074-2708,860-899-9453,alittlejourneydaycare@gmail.com,6 weeks-5 years,42,22,4/30/26,A LITTLE JOURNEY DAYCARE AND LEARNING CENTER INC,1790 ELLINGTON ROAD,SOUTH WINDSOR,06074
Child Care Center,DCCC.70408,CADENCE ACADEMY PRESCHOOL OF CANTON,352 ALBANY TPKE,CANTON,06019-2523,860-693-1693,director.canton@cadence-academy.com,6 weeks-12 years,82,48,4/30/26,CADENCE EDUCATION LLC,8800 N GAINEY CENTER DR STE 300,SCOTTSDALE,85258-2165
Child Care Center,DCCC.70409,CADENCE ACADEMY PRESCHOOL OF FARMINGTON,3 EASTVIEW DR,FARMINGTON,06032-1231,860-677-5878,director.farmington@cadence-academy.com,6 weeks-12 years,122,48,5/31/26,CADENCE EDUCATION LLC,8800 N GAINEY CENTER DR STE 300,SCOTTSDALE,85258-2165
Child Care Center,DCCC.70410,CHESHIRE YMCA DARCEY SCHOOL,1686 WATERBURY RD,CHESHIRE,06410-1331,203-530-8344,lzaborowski@sccymca.org,3 years-6 years,32,0,5/31/26,THE SOUTHINGTON-CHESHIRE COMMUNITY YMCAS INC,29 HIGH ST,SOUTHINGTON,06489-3126
Child Care Center,DCCC.70411,GLENBROOK LEARNING CENTER,1425 BEDFORD ST,STAMFORD,06905-5245,203-595-8339,davette_stephens@yahoo.com,18 months-9 years,37,8,6/30/26,GLENBROOK LEARNING CENTER LLC,143 MULBERRY ST,STAMFORD,06907-1718
Child Care Center,DCCC.70412,HUBBARD HEIGHTS PRESCHOOL,111 W NORTH ST,STAMFORD,06902-2220,203-561-7477,cinherr@aol.com,3 years-5 years,36,0,6/30/26,HUBBARD HEIGHTS PRESCHOOL LLC,100 WOODMERE RD,STAMFORD,06905-4422
Child Care Center,DCCC.70415,CADENCE ACADEMY PRESCHOOL OF BURLINGTON,304 SPIELMAN HWY,BURLINGTON,06013-1605,860-404-0177,director.burlington@cadence-academy.com,6 weeks-12 years,135,48,6/30/26,CADENCE EDUCATION LLC,8800 N GAINEY CENTER DR STE 300,SCOTTSDALE,85258-2165
Child Care Center,DCCC.70416,PRECIOUS MOMENTS EARLY LEARNING CENTER,60 ECHO LAKE RD,WATERTOWN,06795-2642,959-209-4576,pmelc2018@gmail.com,6 weeks-6 years,42,19,6/30/26,PRECIOUS MOMENTS EARLY LEARNING CENTER LLC,63 SHAW FARM RD,OAKVILLE,06779-1468
Child Care Center,DCCC.70417,CADENCE ACADEMY PRESCHOOL OF HARTFORD,1 STATE ST,HARTFORD,06103-3100,860-549-2422,director.hartford@cadence-academy.com,6 weeks-6 years,82,55,6/30/26,CADENCE EDUCATION LLC,8800 N GAINEY CENTER DR STE 300,SCOTTSDALE,85258-2165
Child Care Center,DCCC.70418,MAMA N' CUBS PLAYSCHOOL,604 NAUGATUCK AVE,MILFORD,06461-4059,203-283-1788,maria@mcplayschool.com,6 weeks-6 years,48,30,7/31/26,MAMA N' CUBS PLAYSCHOOL LLC,41 FRANCIS ST,ANSONIA,06401-2247
Child Care Center,DCCC.70419,AFFORDABLE CHILD CARE LEARNING CENTER,255 BARBOUR ST,HARTFORD,06120-1705,860-519-0549,affordablelearninghartford@gmail.com,6 weeks-12 years,63,40,7/31/26,AFFORDABLE CHILDCARE LEARNING CENTER LLC,255 BARBOUR ST,HARTFORD,06120-1705
Child Care Center,DCCC.70421,THE OWL'S NEST DAY SCHOOL - DAYVILLE,1620 UPPER MAPLE ST,DAYVILLE,06241-1514,860-774-4375,theowlsnestdayschool@yahoo.com,6 weeks-12 years,52,32,7/31/26,THE OWL'S NEST DAY SCHOOL INC.,189 POMFRET ST,POMFRET CENTER,06259-1818
Child Care Center,DCCC.70422,CIFC/ GREATER NORWALK HEAD START - FRANKLIN,165 FLAX HILL RD,NORWALK,06854-2837,203-743-3993,GutierrezK@cifc.org,3 years-5 years,60,0,7/31/26,CONNECTICUT INSTITUTE FOR COMMUNITIES INC,"120 Main Street, 4th Floor",DANBURY,06810-7834
Child Care Center,DCCC.70423,KIDDIE CLUBHOUSE,900 VILLAGE WALK,GUILFORD,06437-2759,203-533-5263,kiddieclubhouse123@gmail.com,6 weeks-5 years,80,48,7/31/26,KIDDIE CLUBHOUSE LLC,2 DALE PL,EAST HAVEN,06513-1852
Child Care Center,DCCC.70424,MATER SALVATORIS COLLEGE PREPARATORY SCHOOL,926 NEWFIELD AVE,STAMFORD,06905-2519,203-489-0977,stm.school@matersalvatoris.org,3 years-12 years,176,0,8/31/26,MATER SALVATORIS COLLEGE PREPARATORY SCHOOL INC,914 NEWFIELD AVE,STAMFORD,06905-2519
Child Care Center,DCCC.70425,MISS NICOLES CREATIVE LEARNING CENTER,460 RACEBROOK RD,ORANGE,06477-2514,203-298-4660,missnicolesclc@gmail.com,6 weeks-5 years,47,31,8/31/26,MISS NICOLE'S CREATIVE LEARNING CENTER LLC,484 PLAINS RD,MILFORD,06461-1722
Child Care Center,DCCC.70426,NURTURING NEST EARLY LEARNING CENTER,1721 MERIDEN WATERBURY RD,SOUTHINGTON,06489,860-276-0013,nurturingnestct@gmail.com,6 weeks-5 years,88,48,8/31/26,NURTURING NEST INC,1721 MERIDEN WATERBURY TURNPIKE,SOUTHINGTON,06489-1608
Child Care Center,DCCC.70427,BRIGHTPATH - NEWTOWN,2 SAW MILL RD,NEWTOWN,06470-1440,203-304-2277,newtownct@brightpathkids.com,6 weeks-12 years,269,106,8/31/26,EDUCATIONAL PLAY CARE LTD,555 DAY HILL RD,WINDSOR,06095-1795
Child Care Center,DCCC.70428,BRIGHT BEGINNINGS CHILDCARE CENTER III,1593 KING ST,ENFIELD,06082-5844,860-698-6480,melissatetro@yahoo.com,3 years-12 years,26,0,8/31/26,TETRO CORP.,1537 KING ST,ENFIELD,06082-5803
Child Care Center,DCCC.70429,THE LEARNING EXPERIENCE - NEW HAVEN,520 MARTIN LUTHER KING BLVD,NEW HAVEN,06519,203-507-2405,newhaven@tlechildcare.com,6 weeks-12 years,154,88,8/31/26,AD LEARNING NH LLC,520 MARTIN LUTHER KING BLVD,NEW HAVEN,06519
Child Care Center,DCCC.70430,ALLIANCE FOR COMM EMPOWERMENT @ HARDING HIGH SCHOOL,379 BOND ST,BRIDGEPORT,06610-2201,203-366-8241,bperry@alliancect.org,6 weeks-3 years,24,24,8/31/26,ALLIANCE FOR COMMUNITY EMPOWERMENT INC.,1070 PARK AVENUE,BRIDGEPORT,06604
Child Care Center,DCCC.70431,GINGERBREAD SCHOOL HOUSE,32 CHURCH ST,MONROE,06468-1979,203-268-6611,gingerbreadmonroe@yahoo.com,3 years-5 years,32,0,9/30/26,JOHN AND CYNTHIA O'ROURKE LLC,41 WILLIAM HENRY DR,MONROE,06468-2512
Child Care Center,DCCC.70432,GRANNY'S LITTLE ANGELS LLC @ PEGGY'S PUMPKINS,1006 RESERVOIR AVE,BRIDGEPORT,06606-2919,203-726-4397,kmoalesbyrd@yahoo.com,6 weeks-12 years,29,12,9/30/26,GRANNY'S LITTLE ANGELS LLC,142 CHATHAM TER,BRIDGEPORT,06606-2346
Child Care Center,DCCC.70433,CREATIVE HEARTS LEARNING ACADEMY,30 TOBEY RD,BLOOMFIELD,06002-3538,860-263-8868,lfleeting.chla@gmail.com,6 weeks-12 years,63,30,9/30/26,ADJUSTING THE LENS YOUTH SERVICES LLC,50 WINTONBURY AVE,BLOOMFIELD,06002-2524
Child Care Center,DCCC.70434,SACRED HEART OF JESUS DAYCARE-PRESCHOOL-KINDERGARTEN,90 CHAPEL HILL RD,NORTH HAVEN,06473-2811,203-889-2531,shjdaycareprek.kindergarten@yahoo.com,2 years-8 years,34,8,9/30/26,SACRED HEART OF JESUS DAYCARE-PRESCHOOL-KINDERGARTEN INC,90 CHAPEL HILL RD,NORTH HAVEN,06473-2811
Child Care Center,DCCC.70435,CIFC/ GREATER NORWALK HEAD START - ELY,11 INGALLS AVE,NORWALK,06854-4605,203-791-5090,GutierrezK@cifc.org,12 months-12 years,76,16,9/30/26,CONNECTICUT INSTITUTE FOR COMMUNITIES INC,"120 Main Street, 4th Floor",DANBURY,06810-7834
Child Care Center,DCCC.70446,PLAINFIELD HEAD START AT MOOSUP GARDENS,10 GORMAN ST # B,MOOSUP,06354-1341,860-564-7199,CDaigneau@eastconn.org,6 weeks-5 years,26,8,9/30/26,EASTCONN,376 HARTFORD TURNPIKE,HAMPTON,06247
Child Care Center,DCCC.70447,BRIGHT & EARLY CHILDREN'S LEARNING CENTERS - WEST HARTFORD,2626 ALBANY AVE,WEST HARTFORD,06117-2331,860-236-2626,Kathy@brightandearly.com,6 weeks-12 years,110,80,9/30/26,BRIGHT & EARLY WEST HARTFORD LLC,2626 ALBANY AVE,WEST HARTFORD,06117-2331
Child Care Center,DCCC.70450,YWCA SOUTH WINDSOR EARLY LEARNING CENTER I/T - SA,1724 ELLINGTON RD,SOUTH WINDSOR,06074-2715,860-644-9568,robinb@ywcahartford.org,6 weeks-12 years,89,44,9/30/26,YWCA HARTFORD REGION INC,135 BROAD ST,HARTFORD,06105-3718
Child Care Center,DCCC.70453,TWINKLE LITTLE STAR LEARNING CENTER,190 WHITE ST,DANBURY,06810-6847,203-205-7840,twinklelittlestarschool@gmail.com,6 weeks-12 years,196,88,9/30/26,TWINKLE LITTLE STAR LEARNING CENTER LLC,190 WHITE ST,DANBURY,06810-6847
Child Care Center,DCCC.70455,LINDA'S HOUSE PEDIATRIC DAYCARE & PRESCHOOL,17 KENNEDY DR UNIT B,PUTNAM,06260-1939,860-315-5600,nehealthybaby@gmail.com,6 weeks-5 years,50,41,10/31/26,NEW ENGLAND HEALTHY BABY LLC,PO BOX 341,THOMPSON,06277-0341
Child Care Center,DCCC.70456,AUNTIE ROSE CHILD CARE DEVELOPMENT CENTER,126 GRAND AVE,NEW HAVEN,06513-3908,475-444-9134,auntieroseccdc@hotmail.com,6 weeks-13 years,61,24,10/31/26,AUNTIE ROSE CHILD CARE DEVELOPMENT CENTER LLC,238 CLINTON AVE,NEW HAVEN,06513-2848
Child Care Center,DCCC.70457,ALL OUR CHILDREN ACADEMY,514 ORCHARD ST,NEW HAVEN,06511-3210,203-401-1041,gdani2@icloud.com,6 weeks-12 years,66,29,10/31/26,ALL OUR CHILDREN ACADEMY LLC,514 ORCHARD ST,NEW HAVEN,06511-3210
Child Care Center,DCCC.70458,NEW CREATION ACADEMY BLOOMFIELD,522 COTTAGE GROVE RD BLDG A,BLOOMFIELD,06002-3111,860-967-3639,charlespinkii@gmail.com,6 weeks-12 years,58,38,10/31/26,NEW CREATION FOUNDATION INC,893 BOSTON RD,SPRINGFIELD,01119-1315
Child Care Center,DCCC.70460,SUNRISE CHILD DEVELOPMENT CENTER,35 HOYT ST,STAMFORD,06905-5602,203-554-2228,sunrisecdc35@gmail.com,6 weeks-5 years,37,29,11/30/26,SUNRISE CHILD DEVELOPMENT CENTER LLC,2715 BEDFORD ST,STAMFORD,06905-3904
Child Care Center,DCCC.70461,ACADEMY OF ART & LEARNING THREE,170 HARTFORD TPKE,VERNON ROCKVILLE,06066-5260,860-643-7714,paulinefortier651@comcast.net,6 weeks-12 years,59,29,11/30/26,ACADEMY OF ART AND LEARNING CHILDCARE CENTER LLC,651 TOLLAND STAGE RD,TOLLAND,06084-2926
Child Care Center,DCCC.70462,BRIGHTPATH - TRUMBULL,111 MERRITT BLVD,TRUMBULL,06611-5435,203-816-6252,trumbullct@brightpathkids.com,6 weeks-12 years,219,104,12/31/26,EDUCATIONAL PLAY CARE LTD,555 DAY HILL RD,WINDSOR,06095-1795
Child Care Center,DCCC.70463,BRIGHTPATH - MANCHESTER,452 TOLLAND TPKE,MANCHESTER,06042-1765,860-288-4207,kmeli@brightpathkids.com,6 weeks-12 years,211,96,12/31/26,EDUCATIONAL PLAY CARE LTD,555 DAY HILL RD,WINDSOR,06095-1795
Child Care Center,DCCC.70465,FOUNDATIONS FOR LEARNING OF GLASTONBURY,106 GRISWOLD ST,GLASTONBURY,06033-1006,860-430-1665,samantha@thefoundationsforlearning.com,6 weeks-12 years,112,52,12/31/26,FOUNDATIONS FOR LEARNING LLC,72 LINCOLN DR,GLASTONBURY,06033-3021
Child Care Center,DCCC.70468,GRANDMA'S COZY COTTAGE,210 MAIN ST,WALLINGFORD,06492-2230,203-741-9839,grandmascozycottage@gmail.com,6 weeks-5 years,32,16,12/31/26,GRANDMA'S COZY COTTAGE LLC,25 E CLEAR LAKE MANOR RD,NORTH BRANFORD,06471-1530
Child Care Center,DCCC.70469,BRIGHT GIGGLES LEARNING CENTER ACADEMY 2,768 FAIRFIELD AVE,BRIDGEPORT,06604-3701,203-612-6443,loulou2516@gmail.com,6 weeks-12 years,28,20,1/31/27,BRIGHT GIGGLES LEARNING CENTER LLC,46 PERRY HILL RD,SHELTON,06484-6035
Child Care Center,DCCC.70470,PRECIOUS MEMORIES PRESCHOOL OF SANDY HOLLOW - REAR BLDG,195 SANDY HOLLOW RD REAR BLDG,MYSTIC,06355-1719,860-572-3955,preciousmemoriespreschool@comcast.net,6 weeks-3 years,80,80,1/31/27,PRECIOUS MEMORIES PRESCHOOL OF SANDY HOLLOW INC,7 HIGH MEADOW LN,MYSTIC,06355-1649
Child Care Center,DCCC.70471,PRECIOUS MEMORIES PRESCHOOL OF SANDY HOLLOW - FRONT BLDG,195 SANDY HOLLOW RD FRONT BLDG,MYSTIC,06355-1719,860-572-9958,preciousmemoriespreschool@comcast.net,6 weeks-6 years,86,24,1/31/27,PRECIOUS MEMORIES PRESCHOOL OF SANDY HOLLOW INC,7 HIGH MEADOW LN,MYSTIC,06355-1649
Child Care Center,DCCC.70472,PRECIOUS MEMORIES PLACE,168 GREENMANVILLE AVE,MYSTIC,06355-1930,860-415-9744,preciousmemoriesplace@comcast.net,6 weeks-12 years,141,70,1/31/27,PRECIOUS MEMORIES PLACE INC,168 GREENMANVILLE AVE,MYSTIC,06355-1930
Child Care Center,DCCC.70474,PRISCILLA'S PLACE,25 FLAT ROCK RD,EASTON,06612-1703,203-449-5415,s_Stewart44@yahoo.com,6 weeks-12 years,30,16,1/31/27,STEWART SHELLY,243 ADAMS RD,EASTON,06612-1403
Child Care Center,DCCC.70475,ECC STRATFIELD B/A SCHOOL PROGRAM,1407 MELVILLE AVE,FAIRFIELD,06825-2051,203-459-9700,georget@eastoncc.com,5 years-11 years,144,0,2/28/27,EASTON COMMUNITY CENTER INC,364 SPORT HILL RD,EASTON,06612-1714
Child Care Center,DCCC.70476,BRIGHT & EARLY CHILDREN'S LEARNING CENTERS - NIANTIC,245 FLANDERS RD,NIANTIC,06357-1214,860-691-0344,april@brightandearly.com,6 weeks-12 years,160,80,2/28/27,BRIGHT & EARLY NIANTIC LLC,274 BRANFORD RD,NORTH BRANFORD,06471-1303
Child Care Center,DCCC.70477,THE LEARNING CURVE DAYCARE CENTER,60 CONNOLLY PKWY BLDG 18,HAMDEN,06514-2519,203-296-3440,thelearningcurvedaycare@yahoo.com,6 weeks-10 years,53,28,2/28/27,LINDSAY NADIHA,86 BUTLER AVE,BRIDGEPORT,06605-1945
Child Care Center,DCCC.70480,LIFEWAY LEARNING CENTER,2172 BERLIN TPKE,NEWINGTON,06111-3210,860-665-7529,Kristy@lifewaych.com,6 weeks-12 years,85,29,2/28/27,LIFEWAY CHURCH INC,PO BOX 310956,NEWINGTON,06131-0956
Child Care Center,DCCC.70482,YMCA @ KINSELLA,65 VAN BLOCK AVE,HARTFORD,06106-2826,860-695-6381,rebecca.scheuer@ghymca.org,3 years-12 years,19,0,3/31/27,YOUNG MEN'S CHRISTIAN ASSOCIATION OF METROPOLITAN HARTFORD INC,50 STATE HOUSE SQ FL 2,HARTFORD,06103-3902
Child Care Center,DCCC.70484,WATCH ME GROW EARLY CARE & EDUCATION CENTER,1170 BLUE HILLS AVE,BLOOMFIELD,06002-1902,860-726-9200,watchmegrowbloomfield@gmail.com,6 weeks-5 years,33,16,3/31/27,WATCH ME GROW EARLY CARE & EDUCATION CENTER INC,1170 BLUE HILLS AVE,BLOOMFIELD,06002-1902
Child Care Center,DCCC.70485,CHEYENNE'S EARLY LEARNING CENTER II,3787 MAIN ST,BRIDGEPORT,06606-3612,203-908-3057,cheycare@hotmail.com,6 weeks-12 years,79,24,3/31/27,CHEYENNE'S EARLY LEARNING CENTER II LLC,3787 MAIN ST,BRIDGEPORT,06606-3612
Child Care Center,DCCC.70486,MA MAISON CHILDCARE & PRESCHOOL ACADEMY,111 W NORTH ST,STAMFORD,06902-2220,203-312-4097,info@mamaisonchildcare.com,3 months-12 years,130,85,4/30/27,MA MAISON CHILDCARE LLC,10 ROLLING WOOD DR,STAMFORD,06905-2325
Child Care Center,DCCC.70488,EZ STEPS LEARNING CENTER,877 LONG RIDGE RD,STAMFORD,06902-1103,203-588-9550,lillysdaycare249@gmail.com,3 months-5 years,30,14,4/30/27,LILLY'S DAYCARE LLC,249 VINE RD,STAMFORD,06905-2104
Child Care Center,DCCC.70492,KIDS CREATIVE LEARNING CENTER,3580 MAIN ST,HARTFORD,06120-1121,860-263-7664,kidscreativelearningcenter@gmail.com,6 weeks-12 years,108,60,6/30/27,KIDS CREATIVE LEARNING CENTER LLC,85 GRANDE AVE,WINDSOR,06095-3962
Child Care Center,DCCC.70493,BRIGHT BEGINNINGS EARLY CHILDHOOD PROGRAM - NORWALK,517 WESTPORT AVE,NORWALK,06851-4411,203-939-1700,bbnorwalk@bbecp.com,6 weeks-12 years,144,104,6/30/27,BRIGHT BEGINNINGS EARLY CHILDHOOD PROGRAM INC.,430 HIGH RIDGE RD,STAMFORD,06905-3020
Child Care Center,DCCC.70494,GAN YELADIM OF STAMFORD,752 HIGH RIDGE RD,STAMFORD,06905-2308,203-324-2223,morahleah@stamfordchabad.org,6 weeks-12 years,167,71,6/30/27,GAN YELADIM OF STAMFORD INC.,752 HIGH RIDGE RD,STAMFORD,06905-2308
Child Care Center,DCCC.70495,THE GODDARD SCHOOL - WESTPORT,20 SAUGATUCK AVE,WESTPORT,06880-5700,203-557-6400,westport1ct@goddardschools.com,6 weeks-12 years,155,72,7/31/27,SEBJEB LLC,20 SAUGATUCK AVE,WESTPORT,06880-5700
Child Care Center,DCCC.70496,EXPLORERS LEARNING CENTER,30C PROGRESS AVE,SEYMOUR,06483-3921,203-881-5437,elc.explorerslearningcenter@gmail.com,6 weeks-12 years,112,48,7/31/27,EXPLORERS CHILDCARE LLC,3 SHANNON CT,OXFORD,06478-1335
Child Care Center,DCCC.70497,LITTLE ACORN PRESCHOOL,200 HAZELNUT HILL RD,GROTON,06340-3294,401-601-1692,littleacornlearning@gmail.com,3 years-6 years,28,0,7/31/27,LITTLE ACORN PRESCHOOL LLC,PO BOX 6,PLAINFIELD,06374-0006
Child Care Center,DCCC.70498,BRIGHT GIGGLES LEARNING CENTER ACADEMY,142 THOMPSON ST,BRIDGEPORT,06604-2814,203-212-3960,Bglcenter2018@gmail.com,6 weeks-12 years,78,41,7/31/27,BRIGHT GIGGLES LEARNING CENTER LLC,46 PERRY HILL RD,SHELTON,06484-6035
Child Care Center,DCCC.70499,RIGHT AT SCHOOL AT SPRING GLEN,1908 WHITNEY AVE,HAMDEN,06517-1206,203-817-4269,michelle.higgins@rightatschool.com,5 years-12 years,66,0,8/31/27,RIGHT AT SCHOOL LLC,622 DAVIS ST,EVANSTON,60201-4491
Child Care Center,DCCC.70500,RIGHT AT SCHOOL AT DUNBAR HILL,315 LANE ST,HAMDEN,06514-2718,203-817-1371,michelle.higgins@rightatschool.com,5 years-12 years,43,0,8/31/27,RIGHT AT SCHOOL LLC,622 DAVIS ST,EVANSTON,60201-4491
Child Care Center,DCCC.70501,RIGHT AT SCHOOL AT BEAR PATH,10 KIRK RD,HAMDEN,06514-1308,203-817-1146,Michelle.higgins@rightatschool.com,5 years-12 years,80,0,8/31/27,RIGHT AT SCHOOL LLC,622 DAVIS ST,EVANSTON,60201-4491
Child Care Center,DCCC.70502,RIGHT AT SCHOOL AT WEST WOODS,350 W TODD ST,HAMDEN,06518-1129,203-817-7311,michelle.higgins@rightatschool.com,5 years-12 years,110,0,8/31/27,RIGHT AT SCHOOL LLC,622 DAVIS ST,EVANSTON,60201-4491
Child Care Center,DCCC.70503,HAMDEN/NORTH HAVEN YMCA KEEFE CENTER AS PROGRAM,11 PINE ST,HAMDEN,06514-4924,203-535-2569,EKELLY@CCCYMCA.ORG,5 years-12 years,39,0,8/31/27,CENTRAL CONNECTICUT COAST YMCA INC,1240 CHAPEL STREET,NEW HAVEN,06511
Child Care Center,DCCC.70504,KOKOPELLI DISCOVERY CENTER,44 SMITH ST,SEYMOUR,06483-3715,203-881-2400,kokopellidiscovery@gmail.com,3 years-12 years,50,0,8/31/27,KOKOPELLI DISCOVERY CENTER LLC,35 GREENBRIAR RD,OXFORD,06478-1148
Child Care Center,DCCC.70505,GREATER WATERBURY YMCA AT ROSE HILL,63 PROSPECT ST,WATERBURY,06702-1322,203-754-9622,kjones@waterburyymca.org,6 weeks-12 years,208,24,8/31/27,WATERBURY YMCA ASSOCIATION,136 W MAIN ST,WATERBURY,06702-2005
Child Care Center,DCCC.70506,PETER PRATT NATURE SCHOOL,163 PAPER MILL RD,NEW MILFORD,06776-5336,860-355-3137,info@prattnatureschool.org,3 years-12 years,48,0,8/31/27,PRATT NATURE CENTER INC,163 PAPER MILL RD,NEW MILFORD,06776-5336
Child Care Center,DCCC.70508,OLD STONE VILLAGE CHILDCARE,251 MAIN ST,EAST HAVEN,06512-3003,203-390-5977,oldstonevillage@gmail.com,6 weeks-3 years,25,25,8/31/27,FIRST CONGREGATIONAL CHURCH OF EAST HAVEN,251 MAIN ST,EAST HAVEN,06512-3003
Child Care Center,DCCC.70509,YMCA LITTLE SCHOLARS,2150 CORBIN AVE,NEW BRITAIN,06053-2266,203-800-7925,rhazel@nbbymca.org,6 weeks-12 years,55,38,8/31/27,MERIDEN-NEW BRITAIN-BERLIN YMCA INC.,50 HIGH ST,NEW BRITAIN,06051-2206
Child Care Center,DCCC.70510,HOME AWAY FROM HOME DAYCARE & PRESCHOOL CENTER,188 ROCKY REST RD LOWR LEVEL,SHELTON,06484-4234,475-269-5073,heather.hafh@gmail.com,6 weeks-5 years,40,24,8/31/27,HOME AWAY FROM HOME DAYCARE & PRESCHOOL CENTER LLC,75 WAKELEY ST,SHELTON,06484-4512
Child Care Center,DCCC.70512,NEW CANAAN NATURE CENTER PRESCHOOL - DISCOVERY ROOM,144 OENOKE RDG,NEW CANAAN,06840-4108,203-966-9577,azielinski@newcanaannature.org,3 years-5 years,22,0,9/30/27,NEW CANAAN NATURE CENTER ASSOC INC,144 OENOKE RDG,NEW CANAAN,06840-4108
Child Care Center,DCCC.70513,CURLEY'S KIDS CARE,48 UPTON RD,COLCHESTER,06415-2712,860-537-1782,curleyskids@sbcglobal.net,6 weeks-12 years,85,31,9/30/27,BJ'S KIDS WORLD LLC,682 NORWICH AVE,COLCHESTER,06415-2117
Child Care Center,DCCC.70514,THE JCC PRESCHOOL AT GREENWICH REFORM SYNAGOGUE,92 ORCHARD ST,COS COB,06807-2009,203-489-3084,gmarcus@stamfordjcc.org,12 months-5 years,39,24,9/30/27,JEWISH COMMUNITY CENTER INC,1035 NEWFIELD AVENUE,STAMFORD,06905
Child Care Center,DCCC.70516,FRIENDS CENTER FOR CHILDREN - BLAKE STREET,495 BLAKE ST,NEW HAVEN,06515-1249,203-468-1966,info@friendscenterforchildren.org,3 months-5 years,44,24,10/31/27,FRIENDS CENTER FOR CHILDREN INC,227 E GRAND AVE,NEW HAVEN,06513-4102
Child Care Center,DCCC.70517,COLONIAL VILLAGE LEARNING CENTER,128 SCRIBNER AVE,NORWALK,06854,203-810-5606,abovilsky@norwalkha.org,5 years-11 years,40,0,10/31/27,NORWALK HOUSING AUTHORITY,24 1/2 MONROE ST,NORWALK,06854-2926
Child Care Center,DCCC.70518,ROODNER COURT LEARNING CENTER,261 ELY AVE,NORWALK,06854-4236,203-810-5604,abovilsky@norwalkha.org,5 years-11 years,32,0,10/31/27,NORWALK HOUSING AUTHORITY,24 1/2 MONROE ST,NORWALK,06854-2926
Child Care Center,DCCC.70519,20 WEST LEARNING CENTER,20 WEST AVE,NORWALK,06854-2235,203-852-1144,abovilsky@norwalkha.org,5 years-13 years,50,0,10/31/27,NORWALK HOUSING AUTHORITY,24 1/2 MONROE ST,NORWALK,06854-2926
Child Care Center,DCCC.70520,HEAVENLY GIFT CHILDCARE CENTER,14 PARK ST STE 106,THOMASTON,06787-1755,860-484-4399,heavenlygift.care@gmail.com,6 weeks-12 years,62,42,10/31/27,HEAVENLY GIFT CHILDCARE CENTER LLC,14 PARK ST,THOMASTON,06787-1755
Child Care Center,DCCC.70521,PIECES OF THE PUZZLE EARLY LEARNING CENTER,917 BRIDGEPORT AVE,SHELTON,06484-4679,475-269-2405,piecesofthepuzzle.elc@gmail.com,6 weeks-12 years,81,51,10/31/27,PIECES OF THE PUZZLE EARLY LEARNING CENTER LLC,160 WAKE ST,BRIDGEPORT,06610-2338
Child Care Center,DCCC.70523,BUILDING BLOCKS EARLY LEARNING CENTER - MONROE,477 MAIN ST,MONROE,06468-1139,203-261-6330,kbromley@blockslearning.com,6 weeks-12 years,158,60,10/31/27,CHILD'S WORLD ACADEMY LLC,477 MAIN ST,MONROE,06468-1139
Child Care Center,DCCC.70524,CREATIVE STARTS LEARNING CENTER - OXFORD,35 OLD STATE ROAD 67,OXFORD,06478-1905,203-888-1020,Marta@creativestartslc.com,6 weeks-12 years,60,32,10/31/27,OXFORD LEARNING CENTER LLC,35 OLD STATE ROAD 67,OXFORD,06478-1905
Child Care Center,DCCC.70526,BRIGHTPATH - HEBRON AVE,1199 HEBRON AVE,GLASTONBURY,06033-2420,860-430-4964,hmartin@brightpathkids.com,3 years-12 years,74,0,11/30/27,EDUCATIONAL PLAY CARE LTD,555 DAY HILL RD,WINDSOR,06095-1795
Child Care Center,DCCC.70527,BARVINOK 2 CHILDREN'S CULTURAL CENTER,45 CLOVELLY RD,STAMFORD,06902-3004,203-658-8022,barvinok2ccc@gmail.com,3 years-5 years,29,0,11/30/27,BARVINOK 2 CHILDREN'S CULTURAL CENTER INC.,45 CLOVELLY RD,STAMFORD,06902-3004
Child Care Center,DCCC.70528,SUNFLOWER LEARNING CENTER,1470 BARNUM AVE,BRIDGEPORT,06610-3237,203-945-1770,Support@sunflowerlearningcenter.org,6 weeks-12 years,54,29,11/30/27,SUNFLOWER FAMILY DAYCARE LLC,43 JANE ST,STRATFORD,06615-6524
Child Care Center,DCCC.70529,PLAYFUL MINDS LEARNING CENTER @ ENFIELD,115A ELM ST,ENFIELD,06082-3719,860-835-5066,ashley@playfulmindslc.com,6 weeks-12 years,68,31,11/30/27,PLAYFUL MINDS CT LLC,93 WHITE OAKS DR,LONGMEADOW,01106-1740
Child Care Center,DCCC.70531,YMCA AFTER SCHOOL PROGRAM,375 MONROE TPKE,MONROE,06468-2201,203-452-2870,kriley@cccymca.org,5 years-11 years,60,0,12/31/27,CENTRAL CONNECTICUT COAST YMCA,1240 CHAPEL STREET,NEW HAVEN,06514
