Program Name,Provider Enrollment Status,Program Phone,Program Email,Region,County,Shipping Street,Shipping City,Shipping State,Shipping Zip,Billing Street,Billing City,Billing State,Billing Zip,Account Record Type,GSQ Approved Step,License Number,License Issue Date,License Expiration Date,Capacity,Age Weeks Low,Age Months Low,Age Years Low,Age Years High,Program Type,
"Pittsfield Head Start","","(603) 848-0869","kfrazier@capbm.org","","","23 Oneida Street","Pittsfield","New Hampshire","03263","","","","","Licensed Group Child Care Program","Step 3","","","","17","","","","","",""
"Place For Friends And Fun","","(603) 427-0275","r.steedman@yahoo.com","","","400 Coolidge Drive","Portsmouth","New Hampshire","03801","","","","","Licensed Family Child Care Program","","","","","6","","","","","",""
"Places You'll Grow","","603-285-9017","ry_shag@yahoo.com","","","167 Londonderry Turnpike","Hooksett","NH","03106","","","","","Licensed Group Child Care Program","","","","","83","","","","","",""
"Plaistow Community YMCA Early Education Center","","(603) 382-0641","gallagherb@northshoreymca.org","","","175 Plaistow Road","Plaistow","New Hampshire","03865","","","","","Licensed Group Child Care Program","","","","","106","","","","","",""
"Plaistow Learning Center","","(603) 382-4500","learn@plaistowlearningcenter.com","","","95 Plaistow Road","Plaistow","New Hampshire","03865","","","","","Licensed Group Child Care Program","","","","","101","","","","","",""
"Play and Learn Family Home Child Care","","603-566-9332","deborahleebowler@yahoo.com","","","45 Autumn Run","Hooksett","NH","03106","","","","","Licensed Family Child Care Program","","","","","6","","","","","",""
"Play Laugh N' Grow 102","","603-235-2667","playlaughngrow@yahoo.com","","","9 Essex Drive","Raymond","NH","03077","","","","","Licensed Group Child Care Program","","","","","126","","","","","",""
"Playmates Learning Center","","(603) 770-3296","lmencis@playmateslc.com","","","56 North Road","Sandown","New Hampshire","03873","","","","","Licensed Group Child Care Program","","","","","102","","","","","",""
"Plymouth Area Head Start","","(603) 536-1393","jsolomon@tccap.org","","","258 Highland Street","Plymouth","New Hampshire","03264","","","","","Licensed Group Child Care Program","Step 3","","","","20","","","","","",""
"Plymouth State University Center for Young Children and Families","","(603) 535-2299","klsanders@plymouth.edu","","","35 Langdon Street","Plymouth","New Hampshire","03264","","","","","Licensed Group Child Care Program","","","","","75","","","","","",""
"Prime Time Daycare","","(603) 642-3603","primetimedaycare123@aol.com","","","40 Hillside Terrace","Danville","New Hampshire","03819","","","","","Licensed Family Child Care Program","","","","","17","","","","","",""
"Primrose School at Bedford Hills","","(603) 472-3800","scorson@primrosebedfordhills.com","","","3 Cooper Lane","Bedford","New Hampshire","03110","","","","","Licensed Group Child Care Program","","","","","182","","","","","",""
"Primrose School of Exeter","","(603) 583-3860","cderry@primroseexeter.com","","","5 McKay Drive","Exeter","NH","03833","","","","","Licensed Group Child Care Program","","","","","182","","","","","",""
"Purpura","","(603) 294-6295","yumilkat@gmail.com","","","321 Brunelle Ave.","Manchester","NH","03103","","","","","License Exempt Family Child Care Program","","","","","","","","","","",""
"Rainbowland Child Development Center","","(603) 622-6766","rainbowlandcdc@comcast.net","","","3 Rundlett Hill Road","Bedford","New Hampshire","03110","","","","","Licensed Group Child Care Program","","","","","105","","","","","",""
"Ralph Waldo Emerson School for Preschoolers","","(603) 224-8218","christinaoliva@emersonschoolnh.org","","","274 Pleasant Street","Concord","New Hampshire","03301","","","","","Licensed Group Child Care Program","Step 3","","","","22","","","","","",""
"Reach For The Stars Child Development Center","","(603) 568-9466","lpease3724@gmail.com","","","30 South Elm Street","Manchester","New Hampshire","03101","","","","","Licensed Group Child Care Program","","","","","50","","","","","",""
"Ready Set Grow Childcare LLC.","","(603) 287-7900","ltremblay@rsgnhvt.com","","","11 School Street","Claremont","New Hampshire","03743","","","","","Licensed Group Child Care Program","","","","","30","","","","","",""
"Ready, Set, Grow! Children's Learning Center","","(603) 527-8146","readysetgrowclc@gmail.com","","","401 Gilford Avenue, Suite 203","Gilford","New Hampshire","03249","","","","","Licensed Group Child Care Program","","","","","71","","","","","",""
"Ready, Set, Learn Preschool","","(603) 254-6916","readysetlearn603@gmail.com","","","131 Lake Street
Unit 16A","Gilford","NH","03249","","","","","Licensed Group Child Care Program","","","","","40","","","","","",""
"Red Oak Montessori School","","(603) 934-1002","director@redoakmontessori.org","","","241 Sanborn Street","Franklin","New Hampshire","03235","","","","","Licensed Group Child Care Program","","","","","25","","","","","",""
"Relief Parenting Respite and Resource Center","","(603) 910-5497","childcare@reliefparenting.com","","","1 Merrill Industrial Drive Building D & E 2nd Floor","Hampton","NH","03842","","","","","Licensed Group Child Care Program","","","","","16","","","","","",""
"Rise...For Baby And Family","","(603) 357-1395","info@riseforbabyandfamily.org","","","147 Washington Street","Keene","New Hampshire","03431","","","","","Licensed Group Child Care Program","Step 1","","","","40","","","","","",""
"Robin's Nest Nature Preschool","","(603) 562-5892","robinsnestnaturepreschool@gmail.com","","","277 A Union Street","Peterborough","New Hampshire","03458","","","","","Licensed Group Child Care Program","","","","","38","","","","","",""
"Rochester Child Care Center","","(603) 332-9333","choppe@rochesterchildcare.org","","","95 Charles Street","Rochester","New Hampshire","03867","","","","","Licensed Group Child Care Program","Step 1","","","","170","","","","","",""
"Rochester Child Care Center Allen School &quot;UP&quot; Program","","(603) 332-9333","choppe@rochesterchildcare.org","","","23 Granite Street","Rochester","New Hampshire","03867","","","","","Licensed Group Child Care Program","","","","","64","","","","","",""
"Rochester Child Care Center Chamberlain School &quot;UP&quot; Program","","(603) 332-9333","choppe@rochesterchildcare.org","","","65 Chamberlain Street","Rochester","New Hampshire","03867","","","","","Licensed Group Child Care Program","Step 2","","","","120","","","","","",""
"Rochester Child Care Center East Rochester School &quot;UP&quot; Program","","(603) 332-9333","choppe@rochesterchildcare.org","","","773 Portland Street","East Rochester","New Hampshire","03868","","","","","Licensed Group Child Care Program","","","","","45","","","","","",""
"Rochester Child Care Center Gonic School &quot;UP&quot; Program","","(603) 332-9333","choppe@rochesterchildcare.org","","","10 Railroad Avenue","Rochester","New Hampshire","03867","","","","","Licensed Group Child Care Program","Step 2","","","","45","","","","","",""
"Rochester Child Care Center McClelland School &quot;UP&quot; Program","","(603) 332-9333","choppe@rochesterchildcare.org","","","59 Brock Street","Rochester","New Hampshire","03867","","","","","Licensed Group Child Care Program","Step 2","","","","66","","","","","",""
"Rochester Child Care Center-Maple Street School &quot;UP&quot; Program","","(603) 332-9333","choppe@rochesterchildcare.org","","","27 Maple Street","Rochester","New Hampshire","03867","","","","","Licensed Group Child Care Program","Step 2","","","","30","","","","","",""
"Rockwood Acres Daycare","","(603) 568-5523","lmarceau@comcast.net","","","3 Clough Road","Bow","New Hampshire","03304","","","","","Licensed Group Child Care Program","","","","","20","","","","","",""
"Roots and Wings School","","(603) 487-0153","info@rootsandwingsschool.com","","","20 River Road","New Boston","NH","03070","","","","","Licensed Group Child Care Program","","","","","20","","","","","",""
"Rye Country Day School","","(603) 964-4066","ryecountryday@comcast.net","","","1245 Washington Road","Rye","New Hampshire","03870","","","","","Licensed Group Child Care Program","","","","","99","","","","","",""
"Salem Boys and Girls Club Preschool","","(603) 898-7709","cmckeon@salembgc.org","","","3 Geremonty Drive","Salem","New Hampshire","03079","","","","","Licensed Group Child Care Program","","","","","60","","","","","",""
"Salem Kid Start Kindergarten","","(603) 893-4289","salemkidstart@gmail.com","","","101 School Street","Salem","New Hampshire","03079","","","","","Licensed Group Child Care Program","","","","","14","","","","","",""
"SAMA Child Care","","(603) 699-2282","samachildcare@gmail.com","","","135 Highland Street","Hudson","NH","03051","","","","","Licensed Family Child Care Program","Step 1","","","","15","","","","","",""
"Sanbornton Recreation","","(603) 286-8223","sanborntonrecreation@gmail.com","","","16 Hunkins Pond Road","Sanbornton","New Hampshire","03269","","","","","Licensed Group Child Care Program","","","","","45","","","","","",""
"Sandlot","","(603) 887-2222","mitch@sandlotsportsnh.com","","","8 Sandlot Way","Sandown","NH","03873","","","","","Licensed Group Child Care Program","","","","","45","","","","","",""
"SANDRA GANZEL","","(603) 365-0465","sandraganzel@yahoo.com","","","151 Beaverbrook Road","Campton","New Hampshire","03223","","","","","License Exempt Family Child Care Program","","","","","3","","","","","",""
"Sandwich Children's Center","","603-284-7014","","","","54 Maple Street","Center Sandwich","New Hampshire","03227","","","","","Licensed Group Child Care Program","","","","","50","","","","","",""
"Sapling Acres Preschool","","(603) 313-7358","childcare@saplingacres.com","","","90 Base Hill Road","Keene","NH","03431","","","","","Licensed Group Child Care Program","","","","","50","","","","","",""
"Saplings, A Forest and Nature Preschool","","(603) 630-5450","jax@saplings.school","","","266 Upper Bay Road","Sanbornton","New Hampshire","03269","","","","","Licensed Group Child Care Program","","","","","59","","","","","",""
"Sarrah Gombins","","(978) 302-5323","sa_sara@hotmail.com","","","1 Gettysburg Dr","Nashua","NH","03064","","","","","License Exempt Family Child Care Program","","","","","3","","","","","",""
"School Age Adventure @ Mastricola","","(603) 882-9080","schoolagecare@nashuaalc.org","","","7 School Street","Merrimack","New Hampshire","03054","","","","","Licensed Group Child Care Program","","","","","60","","","","","",""
"School Age Adventures @  Fairgrounds","","(603) 882-9080","schoolagecare@nashuaalc.org","","","37 Blanchard Street","Nashua","New Hampshire","03060","","","","","Licensed Group Child Care Program","","","","","60","","","","","",""
"School Age Adventures @ Bicentennial","","(603) 882-9080","schoolagecare@nashuaalc.org","","","296 East Dunstable Road","Nashua","New Hampshire","03062","","","","","Licensed Group Child Care Program","","","","","90","","","","","",""
"School Age Adventures @ Birch Hill","","(603) 882-9080","schoolagecare@nashuaalc.org","","","17 Birch Hill Drive","Nashua","New Hampshire","03063","","","","","Licensed Group Child Care Program","","","","","60","","","","","",""
"School Age Adventures @ Broad Street","","(603) 880-9080","schoolagecare@nashuaalc.org","","","390 Broad Street","Nashua","New Hampshire","03063","","","","","Licensed Group Child Care Program","","","","","60","","","","","",""
"School Age Adventures @ Charlotte Ave","","(603) 882-9080","schoolagecare@nashuaalc.org","","","48 Charlotte Avenue","Nashua","New Hampshire","03064","","","","","Licensed Group Child Care Program","","","","","60","","","","","",""
"School Age Adventures @ Hollis Primary","","(603) 882-9080","schoolagecare@nashuaalc.org","","","36 Silver Lake Road","Hollis","New Hampshire","03049","","","","","Licensed Group Child Care Program","","","","","60","","","","","",""
"School Age Adventures @ Hollis Upper Elementary","","(603) 882-9080","schoolagecare@nashuaalc.org","","","12 Drury Lane","Hollis","New Hampshire","03049","","","","","Licensed Group Child Care Program","","","","","60","","","","","",""
"School Age Adventures @ Main Dunstable","","(603) 882-9080","schoolagecare@nashuaalc.org","","","20 Whitford Road","Nashua","New Hampshire","03062","","","","","Licensed Group Child Care Program","","","","","75","","","","","",""
"School Age Adventures @ Mastricola Upper","","(603) 882-9080","schoolagecare@nashuaalc.org","","","26 Baboosic Lake Road","Merrimack","New Hampshire","03054","","","","","Licensed Group Child Care Program","","","","","45","","","","","",""
"School Age Adventures @ New Searles","","(603) 882-9080","schoolagecare@nashuaalc.org","","","39 Shady Lane","Nashua","New Hampshire","03062","","","","","Licensed Group Child Care Program","","","","","60","","","","","",""
"School Age Adventures @ Reeds Ferry","","(603) 882-9080","schoolagecare@nashuaalc.org","","","15 Lyons Road","Merrimack","New Hampshire","03054","","","","","Licensed Group Child Care Program","","","","","60","","","","","",""
"School Age Adventures @ Sunset Heights","","(603) 882-9080","schoolagecare@nashuaalc.org","","","15 Osgood Street","Nashua","New Hampshire","03060","","","","","Licensed Group Child Care Program","","","","","100","","","","","",""
"School Age Adventures @ Thornton's Ferry","","(603) 882-9080","schoolagecare@nashuaalc.org","","","134 Camp Sargent Road","Merrimack","New Hampshire","03054","","","","","Licensed Group Child Care Program","","","","","60","","","","","",""
"School Age Adventures-Griffin Memorial","","(603) 882-9080","schoolagecare@nashuaalc.org","","","229 Charles Bancroft Highway","Litchfield","New Hampshire","03052","","","","","Licensed Group Child Care Program","","","","","75","","","","","",""
"School Kids In Peterborough","","603-924-7050","director@kidsatskip.org","","","14 Vine Street","Peterborough","New Hampshire","03458","","","","","Licensed Group Child Care Program","","","","","45","","","","","",""
"Scribbles Early Learning Center","","(603) 721-5531","cdirector@tds.net","","","Stoney Ledge Plaza, 181 Route 13","Brookline","New Hampshire","03033","","","","","Licensed Group Child Care Program","","","","","95","","","","","",""
"Seacoast Community School","","(603) 422-8223","atonelli@seacoastcommunityschool.org","","","100 Campus Drive Suite 20","Portsmouth","New Hampshire","03801","","","","","Licensed Group Child Care Program","Step 3","","","","240","","","","","",""
"Seacoast Community School - Dondero Peak","","(603) 422-8223","jdubois@seacoastcommunityschool.org","","","32 Van Buren Avenue","Portsmouth","New Hampshire","03801","","","","","Licensed Group Child Care Program","","","","","84","","","","","",""
"Seacoast Community School - Greenland PEAK","","(603) 422-8223","jdubois@seacoastcommunityschool.org","","","70 Post Road","Greenland","New Hampshire","03840","","","","","Licensed Group Child Care Program","","","","","45","","","","","",""
"Seacoast Community School - Little Harbour - PEAK","","(603) 422-8223","jdubois@seacoastcommunityschool.org","","","50 Clough Drive","Portsmouth","New Hampshire","03801","","","","","Licensed Group Child Care Program","","","","","114","","","","","",""
"Seacoast Community School at the Meadows","","(603) 422-8223","atonelli@seacoastcommunityschool.org","","","40 Wedgewood Road","Portsmouth","New Hampshire","03801","","","","","Licensed Group Child Care Program","","","","","22","","","","","",""
"Seacoast Community School-Community school @ Little Harbour","","(603) 422-8223","atonelli@seacoastcommunityschool.org","","","50 Clough Drive","Portsmouth","New Hampshire","03801","","","","","Licensed Group Child Care Program","","","","","18","","","","","",""
"Seedlings Early Learning Center","","(603) 679-3381","sonia@seedlingselc.com","","","160 Main Street","Epping","New Hampshire","03042","","","","","Licensed Group Child Care Program","Step 3","","","","151","","","","","",""
"Seeds to Trees Montessori","","857-526-5877","lenahart@me.com","","","24 Southmayd Street","Campton","New Hampshire","03223","","","","","Licensed Group Child Care Program","","","","","26","","","","","",""
"Seeleygang Day Care","","(603) 978-4450","seeleygang@comcast.net","","","16 Echo Brook Road","Rochester","New Hampshire","03839","","","","","Licensed Family Child Care Program","Step 2","","","","12","","","","","",""
"Seven Hills Foundation at Crotched Mountain","","603-547-3311","ggarfinkle@sevenhills.org","","","1 Verney Drive","Greenfield","NH","03047","","","","","Residential Child Care Program","","","","","86","","","","","",""
"Seymour Osman Community Center","","(603) 749-6692","skearns@doverhousingauthority.org","","","40 Hampshire Circle","Dover","New Hampshire","03820","","","","","License Exempt Facility","","","","","60","","","","","",""
"Seymour Osman Community Center","","(603) 749-6692","skearns@doverhousingauthority.org","","","11 Towle Ave","Dover","NH","03820","","","","","License Exempt Facility","","","","","150","","","","","",""
"Shooting Stars Learning Program","","(603) 808-0215","jtf_03@yahoo.com","","","133 Pine Meadow Circle","Bennington","NH","03442","","","","","Licensed Family Child Care Program","","","","","13","","","","","",""
"Silly Goose Day Care","","(603) 934-7182","michelledunham@yahoo.com","","","81 Evergreen Avenue","Franklin","New Hampshire","03235","","","","","Licensed Family Child Care Program","Step 2","","","","17","","","","","",""
"Small Adventures","","(603) 530-4271","angela.laro_smalladventures@yahoo.com","","","13 Alder Drive","Nashua","New Hampshire","03060","","","","","Licensed Family Child Care Program","","","","","12","","","","","",""
"Smart Start Learning Academy","","(603) 842-5874","renee.obrien@smartstartlearningacademy.com","","","36 Olive Meadow Lane","Dover","NH","03820","","","","","Licensed Group Child Care Program","","","","","158","","","","","",""
"Smiling Faces Day Care","","603-543-1455","cher1961@aol.com","","","6 Pawtucket Avenue","Claremont","New Hampshire","03743","","","","","Licensed Family Child Care Program","","","","","12","","","","","",""
"SNHS Central Street Head Start","","(603) 882-3384","snhschdev@snhs.org","","","17 Myrtle Street","Nashua","New Hampshire","03060","","","","","Licensed Group Child Care Program","Step 3","","","","18","","","","","",""
"Somersworth Head Start-Idlehurst Elementary","","(603) 817-5458","ftrial@straffordcap.org","","","46 Stackpole Road","Somersworth","NH","03878","","","","","Licensed Group Child Care Program","Step 3","","","","18","","","","","",""
"Sonshine Preschool and Day Care","","(603) 434-6987","ssinfo@tagderry.com","","","53 North Main Street","Derry","New Hampshire","03038","","","","","Licensed Group Child Care Program","","","","","65","","","","","",""
"Sophia's Hearth Family Center","","(603) 357-3755","paula@sophiashearth.org","","","700 Court Street","Keene","New Hampshire","03431","","","","","Licensed Group Child Care Program","","","","","32","","","","","",""
"Southern District YMCA School's Out - Danville","","(603) 319-5942","nicolef@sdymca.org","","","23 School Street","Danville","NH","03819","","","","","Licensed Group Child Care Program","","","","","45","","","","","",""
"Southern District YMCA School's Out - Kensington","","(603) 319-5942","nicolef@sdymca.org","","","122 Amesbury Road","Kensington","New Hampshire","03833","","","","","Licensed Group Child Care Program","","","","","20","","","","","",""
"Southern District YMCA School's Out - Lincoln Street","","(603) 319-5942","nicolef@sdymca.org","","","25 Lincoln Street","Exeter","NH","03833","","","","","Licensed Group Child Care Program","","","","","60","","","","","",""
"Southern District YMCA School's Out - Marston School","","(603) 319-5942","anthony@sdymca.org","","","4 Marston Way","Hampton","New Hampshire","03842","","","","","Licensed Group Child Care Program","","","","","60","","","","","",""
"Southern District YMCA School's Out - Stratham","","(603) 319-5942","anthony@sdymca.org","","","39 Gifford Farm Road","Stratham","New Hampshire","03885","","","","","Licensed Group Child Care Program","","","","","90","","","","","",""
"Southern District YMCA School's Out -East Kingston","","(603) 319-5942","anthony@sdymca.org","","","5 Andrews Lane","East Kingston","New Hampshire","03827","","","","","Licensed Group Child Care Program","","","","","30","","","","","",""
"Southern District YMCA Schools Out - Kingston","","(603) 319-5942","nicolef@sdymca.org","","","179 Main Street","Kingston","New Hampshire","03848","","","","","Licensed Group Child Care Program","","","","","45","","","","","",""
"Southern New Hampshire Services Raymond Head Start","","(603) 244-2937","snhschdev@snhs.org","","","108 Fremont Road","Raymond","New Hampshire","03077","","","","","Licensed Group Child Care Program","Step 3","","","","18","","","","","",""
"Southern New Hampshire Services Seabrook Head Start","","(603) 474-3507","snhschdev@snhs.org","","","146 Lafayette Road","Seabrook","New Hampshire","03874-4510","","","","","Licensed Group Child Care Program","Step 3","","","","18","","","","","",""
"Southern New Hampshire Services Silver Street Child Development Center","","(603) 668-8010","snhschdev@snhs.org","","","160 Silver Street","Manchester","New Hampshire","03103","","","","","Licensed Group Child Care Program","Step 3","","","","145","","","","","",""
"Southern NH Services - West High Head Start","","(603) 668-8010","snhschdev@snhs.org","","","9 Notre Dame Avenue","Manchester","New Hampshire","03102","","","","","Licensed Group Child Care Program","Step 3","","","","26","","","","","",""
"Southern NH Services Child Development Center","","(603) 889-7812","snhschdev@snhs.org","","","134 Allds Street","Nashua","New Hampshire","03060","","","","","Licensed Group Child Care Program","Step 3","","","","120","","","","","",""
"Southern NH Services Child Development Program at MCC","","(603) 623-2332","snhschdev@snhs.org","","","1066 Front Street","Manchester","New Hampshire","03104","","","","","Licensed Group Child Care Program","Step 3","","","","45","","","","","",""
"Southwestern Community Services - Claremont Head Start","","(603) 719-4304","cadams@scshelps.org","","","6 Kinney Place","Claremont","New Hampshire","03743","","","","","Licensed Group Child Care Program","Step 3","","","","68","","","","","",""
"Southwestern Community Services - Jaffrey Head Start","","(603) 719-4335","cadams@scshelps.org","","","35 Oak Street","Jaffrey","New Hampshire","03452","","","","","Licensed Group Child Care Program","Step 3","","","","20","","","","","",""
"Southwestern Community Services - Keene Head Start","","(603) 719-4175","cadams@scshelps.org","","","64 Dunbar Street","Keene","New Hampshire","03431","","","","","Licensed Group Child Care Program","Step 3","","","","60","","","","","",""
"Southwestern Community Services - Newport Head Start","","(603) 719-4360","cadams@scshelps.org","","","360 Sunapee Street","Newport","New Hampshire","03773","","","","","Licensed Group Child Care Program","Step 3","","","","20","","","","","",""
"Southwestern Community Services - Swanzey Head Start","","(603) 719-4370","cadams@scshelps.org","","","37 West Street","Swanzey","New Hampshire","03446","","","","","Licensed Group Child Care Program","Step 3","","","","20","","","","","",""
"Sowing Seeds CSE","","978-877-1169","earthandskycommunity@gmail.com","","","291 Captain Clark Hwy","Wilton","NH","03086","","","","","Licensed Family Child Care Program","","","","","12","","","","","",""
"Spaulding Academy & Family Services","","603-286-8901","achampagne@spauldingservices.org","","","130 Shedd Road","Northfield","New Hampshire","03276","","","","","Residential Child Care Program","","","","","71","","","","","",""
"Spring Hill Children's Center","","(603) 357-8663","kellee.o@springhillmonadnock.org","","","424 Old Walpole Road","Keene","NH","03431","","","","","Licensed Group Child Care Program","","","","","50","","","","","",""
"St. Augustin Preschool","","(603) 623-8800","sapreschool@comcast.net","","","251 Merrimack Street","Manchester","New Hampshire","03103","","","","","Licensed Group Child Care Program","","","","","65","","","","","",""
"St. Leo Catholic Children's Center","","(603) 332-9840","stleoccc@hrsl.org","","","32 Pickering Road","Rochester","New Hampshire","03867","","","","","Licensed Group Child Care Program","","","","","40","","","","","",""
"St. Peter's Home","","(603) 625-9313","lisa@stpetershome.com","","","300 Kelley Street","Manchester","New Hampshire","03102-3093","","","","","Licensed Group Child Care Program","","","","","354","","","","","",""
"Stay and Play Early Learning Center","","(603) 516-0393","l.sheehan@stay-play.com","","","9 Nelson Street","Dover","New Hampshire","03820","","","","","Licensed Group Child Care Program","Step 2","","","","50","","","","","",""
"Ste. Marie Child Care Center","","603-668-2356","stemarie.childcare@gmail.com","","","133 Wayne Street","Manchester","New Hampshire","03102","","","","","Licensed Group Child Care Program","","","","","106","","","","","",""
"Stepping Stones School","","603-434-6900","steppingstonesnh1@gmail.com","","","1 Partridge Lane","Derry","New Hampshire","03038","","","","","Licensed Group Child Care Program","","","","","18","","","","","",""
"Stepping Stones School","","603.329.8215","cbayek85@gmail.com","","","61 Main Street","Hampstead","New Hampshire","03841","","","","","Licensed Group Child Care Program","","","","","57","","","","","",""
"Stoddard After School Program","","(603) 338-8636","aallain71@gmail.com","","","200 School Street","Stoddard","NH","03464","","","","","Licensed Group Child Care Program","","","","","45","","","","","",""
"Stonewood Child Care","","(603) 883-0725","splatt1964@yahoo.com","","","22 Stonewood Lane","Hudson","New Hampshire","03051","","","","","Licensed Group Child Care Program","","","","","12","","","","","",""
"Stonewood School","","(603) 594-4195","stonewoodschool@gmail.com","","","99 Lowell Road","Hudson","New Hampshire","03051","","","","","Licensed Group Child Care Program","","","","","120","","","","","",""
"Strafford County Head Start - Garrison","","603-435-2500 Ext. 7200","ftrial@straffordcap.org","","","50 Garrison Road","Dover","NH","03820","","","","","Licensed Group Child Care Program","","","","","36","","","","","",""
"Strafford Kinder Campus @ Strafford School","","(603) 817-3571","straffordkindercampus@gmail.com","","","22 Roller Coaster Road","Strafford","New Hampshire","03884","","","","","Licensed Group Child Care Program","","","","","73","","","","","",""
"Stratham Circle Learning Center","","(603) 775-0311","strathamcirclelearningcenter@gmail.com","","","6 Emery Lane","Stratham","New Hampshire","03885","","","","","Licensed Group Child Care Program","","","","","66","","","","","",""
"Strong Beginnings","","(603) 497-3202","office@strongbeginningslearningcenter.com","","","643 N. Mast Road","New Boston","New Hampshire","03070","","","","","Licensed Group Child Care Program","","","","","126","","","","","",""
"Sugar And Spice Preschool","","(603) 529-2036","sugarspicepreschool@gsinet.net","","","8 High Street","Weare","New Hampshire","03281","","","","","Licensed Group Child Care Program","","","","","40","","","","","",""
"Sunflower Child Care","","(603) 542-4792","zoya8happy@gmail.com","","","53 Lane Ridge Road","Claremont","New Hampshire","03743","","","","","Licensed Family Child Care Program","","","","","12","","","","","",""
"Sunrise Children's Center","","(603) 886-0110","mcummings@rsec.org","","","94 Route 101A","Amherst","New Hampshire","03031","","","","","Licensed Group Child Care Program","Step 2","","","","195","","","","","",""
"Tammy's Play House","","(603) 525-4008","btbaproc7@gmail.com","","","214 Forest Road","Hancock","New Hampshire","03449","","","","","Licensed Family Child Care Program","","","","","16","","","","","",""
"Tamworth Area Head Start","","(603) 323-9302","tamworthhs@tccap.org","","","448 White Mountain Highway","Tamworth","New Hampshire","03886","","","","","Licensed Group Child Care Program","Step 3","","","","20","","","","","",""
"Tamworth Village Homeschool","","603-323-6245","kdzenge@yahoo.com","","","101 Main Street","Tamworth","NH","03886","","","","","Licensed Family Child Care Program","","","","","17","","","","","",""
"Tata's Tots Home Day Care","","(603) 632-5857","daycaredoona@me.com","","","687 Route 4A","Enfield","New Hampshire","03748","","","","","Licensed Family Child Care Program","","","","","12","","","","","",""
"Tender Years Child Care And  Learning Center","","(603) 485-8932","tenderyrs@comcast.net","","","3 Chester Turnpike","Allenstown","New Hampshire","03275","","","","","Licensed Group Child Care Program","","","","","74","","","","","",""
"The Amherst Preschool","","(603) 672-8271","ellen@theamherstpreschool.com","","","58 Merrimack Road","Amherst","New Hampshire","03031","","","","","Licensed Group Child Care Program","","","","","48","","","","","",""
"The Applewood Learning Center","","(603) 434-3139","l.brunette@applewoodlc.org","","","2 Hampton Drive","Londonderry","New Hampshire","03053","","","","","Licensed Group Child Care Program","Step 2","","","","106","","","","","",""
"The Ark Christian Nursery and Learning Center","","(603) 286-9966","office@thearklearning.com","","","410 West Main Street","Tilton","New Hampshire","03276","","","","","Licensed Group Child Care Program","Step 2","","","","131","","","","","",""
"The Ark Learning Center of Hooksett","","(603) 232-7778","hooksettoffice@thearklearning.com","","","198 Londonderry Turnpike","Hooksett","New Hampshire","03106","","","","","Licensed Group Child Care Program","Step 2","","","","112","","","","","",""
"The Ark Learning Center of Londonderry","","(603) 432-2535","office@thearklearning.com","","","40 Mammoth Rd.","Londonderry","NH","03053","","","","","Licensed Group Child Care Program","Step 1","","","","131","","","","","",""
"The Art of Learning Child Development Program","","(603) 493-9153","999krb@gmail.com","","","100 Elm Street","Milford","New Hampshire","03055","","","","","Licensed Family Child Care Program","","","","","12","","","","","",""
"The Boys & Girls Club of Greater Nashua Early Learning Center","","(603) 883-0523","clessard@bgcn.com","","","47 Grand Avenue","Nashua","New Hampshire","03060","","","","","Licensed Group Child Care Program","","","","","150","","","","","",""
"The Canterbury Whole Child Center","","(603) 783-4370","canterburywholechildcenter@gmail.com","","","6 Hackleboro Road","Canterbury","New Hampshire","03224","","","","","Licensed Group Child Care Program","","","","","25","","","","","",""
"The Chase Home For Children","","603-436-2216","mwheeler@chasehome.org","","","698 Middle Road","Portsmouth","New Hampshire","03801","","","","","Residential Child Care Program","","","","","25","","","","","",""
"The Children's Confidence Center","","(603) 864-8756","senseir09@yahoo.com","","","77 Derry Road","Hudson","New Hampshire","03051","","","","","Licensed Group Child Care Program","","","","","40","","","","","",""
"The Children's Den","","(603) 420-8156","thechildrensden2019@gmail.com","","","416 Daniel Webster Highway","Merrimack","NH","03054","","","","","Licensed Group Child Care Program","","","","","114","","","","","",""
"The Children's Garden","","(603) 431-6565","info@childrensgardennh.com","","","290 Peverly Hill Road","Portsmouth","New Hampshire","03801","","","","","Licensed Group Child Care Program","","","","","30","","","","","",""
"The Children's Greenhouse 2.0","","(603) 864-0079","a.ferrettitcg@yahoo.com","","","4 John Tyler Street Unit H","Merrimack","New Hampshire","03054","","","","","Licensed Group Child Care Program","","","","","60","","","","","",""
"The Children's Learning Center @ CMC/DHK","","(603) 354-5434","dhunter@cheshire-med.com","","","548 Court Street","Keene","New Hampshire","03431","","","","","Licensed Group Child Care Program","Step 3","","","","125","","","","","",""
"The Dewey School","","(603) 393-0418","director@deweyschool.net","","","288 Shaker Road","Canterbury","New Hampshire","03224","","","","","Licensed Group Child Care Program","","","","","30","","","","","",""
"The Discovery Club - Fiske Elementary","","(603) 894-7251","createandiscover@gmail.com","","","14 Main Street","Salem","New Hampshire","03079","","","","","Licensed Group Child Care Program","","","","","75","","","","","",""
"The Discovery Club @ North Salem Elementary","","(603) 894-7251","createma@comcast.net","","","140 Zion Hill Road","Salem","New Hampshire","03079","","","","","Licensed Group Child Care Program","","","","","75","","","","","",""
"The Discovery Club @ Soule Elementary","","(603) 894-7251","createma@comcast.net","","","173 South Policy Street","Salem","NH","03079","","","","","Licensed Group Child Care Program","","","","","45","","","","","",""
